slide,line_order,text
1,1,Safer
1,2,Smarter
1,3,Easier to monitor
1,4,And Easier to maintain
1,5,Transform each solar panel into
1,6,An intelligent
1,7,Controllable
1,8,Safety
1,9,"-"
1,10,award
1,11,"As the electric power shifts from centralized power plants to millions of rooftop systems, the industry needs better way to make these systems"
2,1,This create a serious safety risk for
2,2,Residential and commercial solar systems operate at dangerous DC voltages
2,3,Firefighters
2,4,Maintenance crew
2,5,Building occupants
2,6,"We develop sensor and machine learning technology that makes rooftop solar panels smart and safe by detecting faults in real time and enabling rapid shutdown to protect firefighters, maintenance crews, and building occupants."
2,7,Join us in making rooftop solar smarter and safer
